#file,rigging_db.csv
version,rev58
id,section,en,it,es,vanguard,victory,agamemnon,bounty,diana
6459,36 guns,FORE-MAST,Fore mast - Jigger Tackle - Strapping,Albero di trinchetto - Paranchino - Stroppatura,Palo trinquete - Aparejo de retorno - Estrobado,72,,2,,16.17,072-ShipOf36Guns.jpg,Jigger Tackle,,circonferenza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6460,36 guns,FORE-MAST,Fore mast - Truss Pendants,Albero di trinchetto - Pendenti della trozza,Palo trinquete - Pendientes de troza,72,,6,12,48.51,072-ShipOf36Guns.jpg,Truss Pendants,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.50.,871,871
6461,36 guns,FORE-MAST,Fore mast - Puddening the Yard worn,Albero di trinchetto - Fasciatura del pennone fasciato,Palo trinquete - Forro de verga — gastado,72,,6,8,48.51,072-ShipOf36Guns.jpg,Puddening the Yard,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6462,36 guns,FORE-MAST,Fore mast - Clew-garnets,Albero di trinchetto - Caricascotte,Palo trinquete - Cargaderas de puños,72,2,3,5,24.26,072-ShipOf36Guns.jpg,Clew-garnets,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.78.,871,871
6463,36 guns,FORE-MAST,Fore mast - Clew-garnets - Straps about the Yard,Albero di trinchetto - Caricascotte - Stroppi attorno al pennone,Palo trinquete - Cargaderas de puños - Estrobos alrededor de la verga,72,,3,6,24.26,072-ShipOf36Guns.jpg,Clew-garnets,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6464,36 guns,FORE-MAST,Fore mast - Clew-garnets - Strapping,Albero di trinchetto - Caricascotte - Stroppatura,Palo trinquete - Cargaderas de puños - Estrobado,72,,3.5,4,28.3,072-ShipOf36Guns.jpg,Clew-garnets,,circonferenza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6465,36 guns,FORE-MAST,Fore mast - Clew-garnets - Seizing,Albero di trinchetto - Caricascotte - Legatura,Palo trinquete - Cargaderas de puños - Ligadura,72,,4.5,12,36.38,072-ShipOf36Guns.jpg,Clew-garnets,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6466,36 guns,FORE-MAST,Fore mast - Clew-garnets - Lashing,Albero di trinchetto - Caricascotte - legatura,Palo trinquete - Cargaderas de puños - Trinca,72,,2.5,4,20.21,072-ShipOf36Guns.jpg,Clew-garnets,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.44.,871,871
6467,36 guns,FORE-MAST,Fore mast - Buntline Legs - Falls,Albero di trinchetto - Bracci delle caricaboline - Correnti,Palo trinquete - Pernas de briol - Betas,72,,2,3,16.17,072-ShipOf36Guns.jpg,Buntline Legs,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6468,36 guns,FORE-MAST,Fore mast - Buntline Legs - Strapping,Albero di trinchetto - Bracci delle caricaboline - Stroppatura,Palo trinquete - Pernas de briol - Estrobado,72,,7,,56.6,072-ShipOf36Guns.jpg,Buntline Legs,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.51. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6469,36 guns,FORE-MAST,Fore mast - Leechline Legs - Falls,Albero di trinchetto - Bracci delle caricascottine - Correnti,Palo trinquete - Pernas de apagapenol - Betas,72,2,2,40,16.17,072-ShipOf36Guns.jpg,Leechline Legs,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6470,36 guns,FORE-MAST,Fore mast - Slablines,Albero di trinchetto - Imbroglietti,Palo trinquete - Cargaderas de envergues,72,,2,8,16.17,072-ShipOf36Guns.jpg,Slablines,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6471,36 guns,FORE-MAST,Fore mast - Slablines - Strapping,Albero di trinchetto - Imbroglietti - Stroppatura,Palo trinquete - Cargaderas de envergues - Estrobado,72,,2,1,16.17,072-ShipOf36Guns.jpg,Slablines,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6472,36 guns,FORE-MAST,Fore mast - Bowlines,Albero di trinchetto - Boline,Palo trinquete - Bolinas,72,,3.5,46,28.3,072-ShipOf36Guns.jpg,Bowlines,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6473,36 guns,FORE-MAST,Fore mast - Bowlines - Bridles,Albero di trinchetto - Boline - briglie,Palo trinquete - Bolinas - Bridas,72,,3,4,24.26,072-ShipOf36Guns.jpg,Bowlines,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6474,36 guns,FORE-MAST,Fore mast - Bowlines - Strapping,Albero di trinchetto - Boline - Stroppatura,Palo trinquete - Bolinas - Estrobado,72,,3,,24.26,072-ShipOf36Guns.jpg,Bowlines,,circonferenza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6475,36 guns,FORE-MAST,Fore mast - Bowlines - Lashing,Albero di trinchetto - Boline - legatura,Palo trinquete - Bolinas - Trinca,72,,5,8,40.43,072-ShipOf36Guns.jpg,Bowlines,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6476,36 guns,FORE-MAST,Fore mast - Earrings,Albero di trinchetto - Legature d’angolo,Palo trinquete - Empuñiduras,72,,13.5,26,109.15,072-ShipOf36Guns.jpg,Earrings,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6477,36 guns,FORE-MAST,Fore mast - Sheets Cabled,Albero di trinchetto - Scotte in cavo,Palo trinquete - Escotas colchadas,72,2,5,,40.43,072-ShipOf36Guns.jpg,Sheets,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza lasciata vuota: nuova lettura OCR discordante dalla precedente. Nessuna stima o interpolazione.,871,871
6478,36 guns,FORE-MAST,Fore mast - Sheets - Strapping,Albero di trinchetto - Scotte - Stroppatura,Palo trinquete - Escotas - Estrobado,72,,5,,40.43,072-ShipOf36Guns.jpg,Sheets,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza lasciata vuota: nuova lettura OCR discordante dalla precedente. Nessuna stima o interpolazione.,871,871
6479,36 guns,FORE-MAST,Fore mast - Sheets - Stoppers,Albero di trinchetto - Scotte - Stoppers,Palo trinquete - Escotas - Bozas,72,,4,4,32.34,072-ShipOf36Guns.jpg,Sheets,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6480,36 guns,FORE-MAST,Fore mast - Tacks - Seizing,Albero di trinchetto - Mure - Legatura,Palo trinquete - Amuras - Ligadura,72,,1.5,8,12.13,072-ShipOf36Guns.jpg,Tacks,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6481,36 guns,FORE-MAST,Fore mast - Tacks - Stoppers,Albero di trinchetto - Mure - Stoppers,Palo trinquete - Amuras - Bozas,72,2,5,4,40.43,072-ShipOf36Guns.jpg,Tacks,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6482,36 guns,FORE-MAST,Fore mast - Tacks - Lanyards,Albero di trinchetto - Mure - Corridori,Palo trinquete - Amuras - Acolladores,72,2,1,4,8.09,072-ShipOf36Guns.jpg,Tacks,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6483,36 guns,FORE-MAST,Fore mast - Gammoning the Bumkin worn,Albero di trinchetto - Trincatura del minotto fasciato,Palo trinquete - Trinca del pescante — gastada,72,,3.5,3,28.3,072-ShipOf36Guns.jpg,Gammoning the Bumkin,,circonferenza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6484,36 guns,FORE-MAST,Fore mast - Gammoning the Bumkin - Lanyards,Albero di trinchetto - Trincatura del minotto - Corridori,Palo trinquete - Trinca del pescante - Acolladores,72,2,2,8,16.17,072-ShipOf36Guns.jpg,Gammoning the Bumkin,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6485,36 guns,FORE-MAST,Fore mast - Lanyard for Pudden & Dolphin,Albero di trinchetto - Corridore per fasciatura & delfiniera,Palo trinquete - acollador for Pudden & Dolphin,72,,1,8,8.09,072-ShipOf36Guns.jpg,Lanyard for Pudden & Dolphin,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6486,36 guns,FORE-MAST,Fore mast - Slings - Lanyard,Albero di trinchetto - Stroppi - Corridore,Palo trinquete - Eslingas - Acollador,72,,2.5,6,20.21,072-ShipOf36Guns.jpg,Slings,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6487,36 guns,FORE-MAST,Fore mast - Stayfail Hallyard,Albero di trinchetto - Drizza della vela di straglio,Palo trinquete - Driza de vela de estay,72,,3.5,26,28.3,072-ShipOf36Guns.jpg,Stayfail Hallyard,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6488,36 guns,FORE-MAST,Fore mast - Stayfail Hallyard - Sheets,Albero di trinchetto - Drizza della vela di straglio - Scotte,Palo trinquete - Driza de vela de estay - Escotas,72,2,3,23,24.26,072-ShipOf36Guns.jpg,Stayfail Hallyard,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6489,36 guns,FORE-MAST,Fore mast - Stayfail Hallyard - Tack,Albero di trinchetto - Drizza della vela di straglio - mura,Palo trinquete - Driza de vela de estay - Amura,72,,2,2,16.17,072-ShipOf36Guns.jpg,Stayfail Hallyard,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6490,36 guns,FORE-TOP-MAST,Fore topmast - Shrouds - Seizings Eye,Alberetto di parrocchetto - Sartie - Legature occhio,Mastelero de trinquete - Obenques - Ligaduras de ojo,73,4,2.5,,20.21,073-ShipOf36Guns.jpg,Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6491,36 guns,FORE-TOP-MAST,Fore topmast - Shrouds - End,Alberetto di parrocchetto - Sartie - Estremità,Mastelero de trinquete - Obenques - Extremo,73,8,4.5,,36.38,073-ShipOf36Guns.jpg,Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6492,36 guns,FORE-TOP-MAST,Fore topmast - Shrouds - Lanyards fine,Alberetto di parrocchetto - Sartie - Corridori fini,Mastelero de trinquete - Obenques - Acolladores finos,73,8,4.5,40,36.38,073-ShipOf36Guns.jpg,Shrouds,,lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6493,36 guns,FORE-TOP-MAST,Fore topmast - Shrouds - Ratling,Alberetto di parrocchetto - Sartie - grisella,Mastelero de trinquete - Obenques - Flechaste,73,,1.5,,12.13,073-ShipOf36Guns.jpg,Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.48. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6494,36 guns,FORE-TOP-MAST,Fore topmast - Standing Backstays fine,Alberetto di parrocchetto - Paterazzi fissi fini,Mastelero de trinquete - Burdas fijas finas,73,,9.5,1,76.81,073-ShipOf36Guns.jpg,Standing Backstays,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.76.,871,871
6495,36 guns,FORE-TOP-MAST,Fore topmast - Standing Backstays - Seizings Eye,Alberetto di parrocchetto - Paterazzi fissi - Legature occhio,Mastelero de trinquete - Burdas fijas - Ligaduras de ojo,73,5,1.5,,12.13,073-ShipOf36Guns.jpg,Standing Backstays,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.75. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6496,36 guns,FORE-TOP-MAST,Fore topmast - Standing Backstays - End,Alberetto di parrocchetto - Paterazzi fissi - Estremità,Mastelero de trinquete - Burdas fijas - Extremo,73,6,3.5,94,28.3,073-ShipOf36Guns.jpg,Standing Backstays,,lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6497,36 guns,FORE-TOP-MAST,Fore topmast - Standing Backstays - Lanyards fine,Alberetto di parrocchetto - Paterazzi fissi - Corridori fini,Mastelero de trinquete - Burdas fijas - Acolladores finos,73,,2,,16.17,073-ShipOf36Guns.jpg,Standing Backstays,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6498,36 guns,FORE-TOP-MAST,Fore topmast - Breast Backstay Runners,Alberetto di parrocchetto - Corridori dei paterazzi laterali,Mastelero de trinquete - Corredores de burdas de través,73,2,3.5,,28.3,073-ShipOf36Guns.jpg,Breast Backstay Runners,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.68. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6499,36 guns,FORE-TOP-MAST,Fore topmast - Breast Backstay Runners - Falls,Alberetto di parrocchetto - Corridori dei paterazzi laterali - Correnti,Mastelero de trinquete - Corredores de burdas de través - Betas,73,2,2,,16.17,073-ShipOf36Guns.jpg,Breast Backstay Runners,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6500,36 guns,FORE-TOP-MAST,Fore topmast - Breast Backstay Runners - Strapping,Alberetto di parrocchetto - Corridori dei paterazzi laterali - Stroppatura,Mastelero de trinquete - Corredores de burdas de través - Estrobado,73,,3,3,24.26,073-ShipOf36Guns.jpg,Breast Backstay Runners,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6501,36 guns,FORE-TOP-MAST,Fore topmast - Stay - Collar fine,Alberetto di parrocchetto - Straglio - Collare fini,Mastelero de trinquete - Estay - Collar fino,73,,5,3,40.43,073-ShipOf36Guns.jpg,Stay,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00.,871,871
6502,36 guns,FORE-TOP-MAST,Fore topmast - Stay - Tackle,Alberetto di parrocchetto - Paranco di straglio,Mastelero de trinquete - Estay - Aparejo,73,,20,,161.7,073-ShipOf36Guns.jpg,Stay,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.72. Lunghezza non letta con sufficiente affidabilità (lettura grezza: |!).,871,871
6503,36 guns,FORE-TOP-MAST,Fore topmast - Stay - Tackle Strapping,Alberetto di parrocchetto - Paranco di straglio Stroppatura,Mastelero de trinquete - Estay - Estrobado de aparejo,73,,3.5,3,28.3,073-ShipOf36Guns.jpg,Stay,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6504,36 guns,FORE-TOP-MAST,Fore topmast - Stay - Tackle Seizing,Alberetto di parrocchetto - Paranco di straglio Legatura,Mastelero de trinquete - Estay - Ligadura de aparejo,73,,2.5,8,20.21,073-ShipOf36Guns.jpg,Stay,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6505,36 guns,FORE-TOP-MAST,Fore topmast - Preventer Stay cabled 4 Str. fine,Alberetto di parrocchetto - Controstraglio in cavo 4 Str. fini,Mastelero de trinquete - Estay de respeto colchado fino de 4 cordones,73,,4,,32.34,073-ShipOf36Guns.jpg,Preventer Stay,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.67. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6506,36 guns,FORE-TOP-MAST,Fore topmast - Preventer Stay - Collar fine,Alberetto di parrocchetto - Controstraglio - Collare fini,Mastelero de trinquete - Estay de respeto - Collar fino,73,,4,3,32.34,073-ShipOf36Guns.jpg,Preventer Stay,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00.,871,871
6507,36 guns,FORE-TOP-MAST,Fore topmast - Preventer Stay - Tackle,Alberetto di parrocchetto - Controstraglio - Paranco,Mastelero de trinquete - Estay de respeto - Aparejo,73,,2,18,16.17,073-ShipOf36Guns.jpg,Preventer Stay,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6508,36 guns,FORE-TOP-MAST,Fore topmast - Preventer Stay - Tackle Strapping,Alberetto di parrocchetto - Controstraglio - Paranco Stroppatura,Mastelero de trinquete - Estay de respeto - Estrobado de aparejo,73,,3,2,24.26,073-ShipOf36Guns.jpg,Preventer Stay,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6509,36 guns,FORE-TOP-MAST,Fore topmast - Preventer Stay - Lashing the Collar,Alberetto di parrocchetto - Controstraglio - legatura the Collare,Mastelero de trinquete - Estay de respeto - Trinca del collar,73,,2,,16.17,073-ShipOf36Guns.jpg,Preventer Stay,,circonferenza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6510,36 guns,FORE-TOP-MAST,Fore topmast - Shifting Backstays fine,Alberetto di parrocchetto - Paterazzi volanti fini,Mastelero de trinquete - Burdas volantes finas,73,1,3.5,30,28.3,073-ShipOf36Guns.jpg,Shifting Backstays,,lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6511,36 guns,FORE-TOP-MAST,Fore topmast - Shifting Backstays - Tackles.,Alberetto di parrocchetto - Paterazzi volanti - Paranchi.,Mastelero de trinquete - Burdas volantes - Aparejos.,73,4,2,40,16.17,073-ShipOf36Guns.jpg,Shifting Backstays,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6512,36 guns,FORE-TOP-MAST,Fore topmast - Shifting Backstays - Strapping,Alberetto di parrocchetto - Paterazzi volanti - Stroppatura,Mastelero de trinquete - Burdas volantes - Estrobado,73,,3,6,24.26,073-ShipOf36Guns.jpg,Shifting Backstays,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6513,36 guns,FORE-TOP-MAST,Fore topmast - Futtock Shrouds fine,Alberetto di parrocchetto - Sartie di coffa fini,Mastelero de trinquete - Obenquillos finos,73,4,5,,40.43,073-ShipOf36Guns.jpg,Futtock Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.57. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6514,36 guns,FORE-TOP-MAST,Fore topmast - Futtock Shrouds - Seizing Upper,Alberetto di parrocchetto - Sartie di coffa - Legatura superiore,Mastelero de trinquete - Obenquillos - Ligadura superior,73,,4,28,32.34,073-ShipOf36Guns.jpg,Futtock Shrouds,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6515,36 guns,FORE-TOP-MAST,Fore topmast - Futtock Shrouds - Seizing Lower,Alberetto di parrocchetto - Sartie di coffa - Legatura inferiore,Mastelero de trinquete - Obenquillos - Ligadura inferior,73,,4.5,,36.38,073-ShipOf36Guns.jpg,Futtock Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6516,36 guns,FORE-TOP-MAST,Fore topmast - Futtock Shrouds - Ratling,Alberetto di parrocchetto - Sartie di coffa - grisella,Mastelero de trinquete - Obenquillos - Flechaste,73,,2,,16.17,073-ShipOf36Guns.jpg,Futtock Shrouds,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.58. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6517,36 guns,FORE-TOP-MAST,Fore topmast - Top Rope Pendants fine,Alberetto di parrocchetto - Pendenti top-cima fini,Mastelero de trinquete - Pendientes finos de guindaleza de mastelero,73,2,7.5,31,60.64,073-ShipOf36Guns.jpg,Top Rope Pendants,,lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6518,36 guns,FORE-TOP-MAST,Fore topmast - Top Rope Pendants - Falls,Alberetto di parrocchetto - Pendenti top-cima - Correnti,Mastelero de trinquete - Pendientes de guindaleza de mastelero - Betas,73,2,8.5,,68.72,073-ShipOf36Guns.jpg,Top Rope Pendants,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.74. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6519,36 guns,FORE-TOP-MAST,Fore topmast - Tye - Strapping,Alberetto di parrocchetto - Tira / drizza - Stroppatura,Mastelero de trinquete - Amante - Estrobado,73,,4.5,6,36.38,073-ShipOf36Guns.jpg,Tye,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.76.,871,871
6520,36 guns,FORE-TOP-MAST,Fore topmast - Tye - Seizing,Alberetto di parrocchetto - Tira / drizza - Legatura,Mastelero de trinquete - Amante - Ligadura,73,,1.5,,12.13,073-ShipOf36Guns.jpg,Tye,,Lettura OCR assistita dalla scansione; corrispondenza voce 0.62. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6521,36 guns,FORE-TOP-MAST,Fore topmast - Tye - Lathers at the Mast Head,Alberetto di parrocchetto - Tira / drizza - Legature alla testa d’albero,Mastelero de trinquete - Amante - Estrobos en la cabeza del palo,73,,2,9,16.17,073-ShipOf36Guns.jpg,Tye,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6522,36 guns,FORE-TOP-MAST,Fore topmast - Hallyards - Seizing,Alberetto di parrocchetto - Drizze - Legatura,Mastelero de trinquete - Drizas - Ligadura,73,,4,4,32.34,073-ShipOf36Guns.jpg,Hallyards,,circonferenza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6523,36 guns,FORE-TOP-MAST,Fore topmast - Braces - Preventer,Alberetto di parrocchetto - Bracci - di rispetto,Mastelero de trinquete - Brazas - Respeto,73,,3,9,24.26,073-ShipOf36Guns.jpg,Braces,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6524,36 guns,FORE-TOP-MAST,Fore topmast - Lifts,Alberetto di parrocchetto - Amantigli,Mastelero de trinquete - Amantillos,73,2,3,54,24.26,073-ShipOf36Guns.jpg,Lifts,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6525,36 guns,FORE-TOP-MAST,Fore topmast - Lifts - Beckets,Alberetto di parrocchetto - Amantigli - Gasse,Mastelero de trinquete - Amantillos - Gazas,73,2,3,2,24.26,073-ShipOf36Guns.jpg,Lifts,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6526,36 guns,FORE-TOP-MAST,Fore topmast - Leechlines - Strapping,Alberetto di parrocchetto - Leechlines - Stroppatura,Mastelero de trinquete - Apagapenoles - Estrobado,73,,2,1,16.17,073-ShipOf36Guns.jpg,Leechlines,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6527,36 guns,FORE-TOP-MAST,Fore topmast - Bowlines - Bridles,Alberetto di parrocchetto - Boline - briglie,Mastelero de trinquete - Bolinas - Bridas,73,4,2.5,9,20.21,073-ShipOf36Guns.jpg,Bowlines,,circonferenza integrata da nuova rilettura OCR assistita della scansione; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6528,36 guns,FORE-TOP-MAST,Fore topmast - Reeftackle Pendants,Alberetto di parrocchetto - Pendenti dei paranchi di terzarolo,Mastelero de trinquete - Pendientes de aparejo de rizos,73,,3,37,24.26,073-ShipOf36Guns.jpg,Reeftackle Pendants,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6529,36 guns,FORE-TOP-MAST,Fore topmast - Reeftackle Pendants - Falls,Alberetto di parrocchetto - Pendenti dei paranchi di terzarolo - Correnti,Mastelero de trinquete - Pendientes de aparejo de rizos - Betas,73,2,1,,8.09,073-ShipOf36Guns.jpg,Reeftackle Pendants,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00. Lunghezza non letta con sufficiente affidabilità (lettura grezza: —).,871,871
6530,36 guns,FORE-TOP-MAST,Fore topmast - Reeftackle Pendants - Strapping,Alberetto di parrocchetto - Pendenti dei paranchi di terzarolo - Stroppatura,Mastelero de trinquete - Pendientes de aparejo de rizos - Estrobado,73,,2,2,16.17,073-ShipOf36Guns.jpg,Reeftackle Pendants,,lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6531,36 guns,FORE-TOP-MAST,Fore topmast - Earrings,Alberetto di parrocchetto - Legature d’angolo,Mastelero de trinquete - Empuñiduras,73,10,3.5,4,28.3,073-ShipOf36Guns.jpg,Earrings,,Lettura OCR assistita dalla scansione; corrispondenza voce 1.00.,871,871
6532,36 guns,FORE-TOP-MAST,Fore topmast - Sheets,Alberetto di parrocchetto - Scotte,Mastelero de trinquete - Escotas,73,2,4.5,46,36.38,073-ShipOf36Guns.jpg,Sheets,,lunghezza integrata da nuova rilettura OCR assistita della scansione. Nessuna stima o interpolazione.,871,871
6533,36 guns,FORE-TOP-MAST,Fore topmast - Sheets - Straps for Sheet Blocks,Alberetto di parrocchetto - Scotte - Stroppi per Scotta bozzelli,Mastelero de trinquete - Escotas - Estrobos para motones de escota,73,,6,,48.51,073-ShipOf36Guns.jpg,Sheets,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza lasciata vuota: nuova lettura OCR discordante dalla precedente. Nessuna stima o interpolazione.,871,871
6534,36 guns,FORE-TOP-MAST,Fore topmast - Sheets - Lathers for Quarter Blocks,Alberetto di parrocchetto - Scotte - legature per quarto bozzelli,Mastelero de trinquete - Escotas - Estrobos para motones de cuadra,73,,2,6,16.17,073-ShipOf36Guns.jpg,Sheets,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
6535,36 guns,FORE-TOP-MAST,Fore topmast - Sheets - Seizings,Alberetto di parrocchetto - Scotte - Legature,Mastelero de trinquete - Escotas - Ligaduras,73,2,1,18,8.09,073-ShipOf36Guns.jpg,Sheets,,circonferenza riconfermata nella nuova rilettura OCR; lunghezza riconfermata nella nuova rilettura OCR. Nessuna stima o interpolazione.,871,871
